EmployeeID,StoreID,EmployeeName,Gender,Department,Designation,Salary,JoiningDate,EmploymentType,Shift,Email,PhoneNumber,IsActive
EMP000001,ST0153,Dominic Prabhu,Male,Inventory,Senior Associate,33124,2017-07-15,Full-Time,Morning,emp000001@retailsphere.com,9162974217,Yes
EMP000002,ST0014,Rayaan Ramachandran,Male,Sales,Associate,23070,2020-03-08,Full-Time,Night,emp000002@retailsphere.com,9421149591,Yes
EMP000003,ST0167,Hamsini Ganguly,Female,Inventory,Associate,25791,2021-08-14,Full-Time,Morning,emp000003@retailsphere.com,9854798320,Yes
EMP000004,ST0176,Hritik Pathak,Male,Inventory,Senior Associate,33303,2013-10-07,Full-Time,Evening,emp000004@retailsphere.com,9460820424,Yes
EMP000005,ST0176,Chakradhar Venkataraman,Male,Sales,Supervisor,59225,2012-03-16,Full-Time,Morning,emp000005@retailsphere.com,9400613443,Yes
EMP000006,ST0173,Kevin Dube,Male,Sales,Associate,31755,2015-09-04,Full-Time,Evening,emp000006@retailsphere.com,9740421545,Yes
EMP000007,ST0098,Samuel Dash,Male,Security,Associate,24039,2025-06-09,Full-Time,Evening,emp000007@retailsphere.com,9566452857,Yes
EMP000008,ST0200,Bhavani Bora,Female,Sales,Supervisor,50248,2016-09-27,Full-Time,Evening,emp000008@retailsphere.com,9348344268,Yes
EMP000009,ST0138,Ishaan Khurana,Male,Sales,Associate,22404,2025-06-04,Full-Time,Evening,emp000009@retailsphere.com,9451547899,Yes
EMP000010,ST0184,Upasna Solanki,Female,Billing,Assistant Manager,79171,2023-09-05,Full-Time,Night,emp000010@retailsphere.com,9824800445,Yes
EMP000011,ST0125,Ikbal Balakrishnan,Male,Inventory,Associate,29437,2025-12-20,Full-Time,Evening,emp000011@retailsphere.com,9914197698,Yes
EMP000012,ST0016,Sara Bahl,Female,Sales,Associate,30542,2011-12-04,Contract,Evening,emp000012@retailsphere.com,9160438981,Yes
EMP000013,ST0199,Thomas Ben,Male,Sales,Assistant Manager,89814,2025-06-18,Full-Time,Evening,emp000013@retailsphere.com,9737514579,Yes
EMP000014,ST0136,Indira Iyer,Female,Sales,Senior Associate,35783,2022-06-05,Full-Time,Morning,emp000014@retailsphere.com,9719220095,No
EMP000015,ST0089,Oviya Banik,Female,Sales,Assistant Manager,70366,2012-04-10,Full-Time,Morning,emp000015@retailsphere.com,9431386808,Yes
EMP000016,ST0180,Daksha Magar,Female,Sales,Senior Associate,40816,2023-10-09,Part-Time,Morning,emp000016@retailsphere.com,9194294651,Yes
EMP000017,ST0161,Diya Aurora,Female,Billing,Associate,30306,2017-02-16,Part-Time,Evening,emp000017@retailsphere.com,9247093407,No
EMP000018,ST0117,Nimrat Arya,Female,Billing,Associate,26246,2022-12-24,Contract,Morning,emp000018@retailsphere.com,9253389206,Yes
EMP000019,ST0084,Kala Nanda,Female,Customer Support,Associate,31361,2017-12-18,Full-Time,Morning,emp000019@retailsphere.com,9760721365,Yes
EMP000020,ST0165,Ekanta Narain,Female,Inventory,Supervisor,60254,2023-09-19,Part-Time,Morning,emp000020@retailsphere.com,9234880173,Yes
EMP000021,ST0027,Abhiram Parsa,Male,HR,Associate,31101,2024-03-21,Full-Time,Morning,emp000021@retailsphere.com,9735139799,Yes
EMP000022,ST0100,Harinakshi Kala,Female,Sales,Associate,29509,2020-05-24,Full-Time,Night,emp000022@retailsphere.com,9802367704,Yes
EMP000023,ST0189,Chandran Parsa,Male,Billing,Associate,29828,2018-04-29,Full-Time,Morning,emp000023@retailsphere.com,9763749765,Yes
EMP000024,ST0072,Liam Kapur,Male,Inventory,Supervisor,47717,2023-10-14,Full-Time,Evening,emp000024@retailsphere.com,9122198501,Yes
EMP000025,ST0064,Upma Dada,Female,Sales,Senior Associate,34738,2015-07-28,Full-Time,Evening,emp000025@retailsphere.com,9586281248,Yes
EMP000026,ST0123,Samarth Chaudry,Male,Billing,Associate,24766,2020-08-10,Full-Time,Evening,emp000026@retailsphere.com,9497876533,Yes
EMP000027,ST0003,Jeet Ganesan,Male,Sales,Assistant Manager,70628,2021-02-05,Full-Time,Morning,emp000027@retailsphere.com,9806282787,Yes
EMP000028,ST0191,Vrinda Bansal,Female,Inventory,Assistant Manager,76664,2025-03-13,Full-Time,Morning,emp000028@retailsphere.com,9482763692,Yes
EMP000029,ST0003,Vincent Singh,Male,Sales,Associate,29020,2012-05-31,Full-Time,Evening,emp000029@retailsphere.com,9312732312,Yes
EMP000030,ST0062,Azad Toor,Male,Sales,Manager,133088,2024-12-23,Full-Time,Morning,emp000030@retailsphere.com,9657983916,Yes
EMP000031,ST0191,Pranit Hayre,Male,Billing,Associate,30995,2026-07-01,Full-Time,Morning,emp000031@retailsphere.com,9827715812,Yes
